   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 265,         17876,           17616,           4855,      2916,         695,        460,         34980,             256,           2356,     3442,       1896,       504
 266,         17925,           17664,           4874,      2831,         699,        454,         35245,             260,           2365,     3460,       1910,       514
 267,         18047,           17785,           4993,      3113,         695,        845,         35511,             257,           2356,     3463,       1911,       522
 268,         18259,           17996,           4949,      3192,         702,        492,         35778,             264,           2416,     3472,       1918,       516
 269,         18350,           18086,           4965,      2989,         697,        466,         36046,             264,           2434,     3509,       1926,       553
 270,         18510,           18245,           5017,      3094,         705,        477,         36315,             265,           2424,     3509,       1937,       511
 271,         18687,           18421,           5012,      3189,         717,        490,         36585,             267,           2418,     3514,       1931,       520
 272,         18949,           18682,           5160,      2970,         691,        471,         36856,             264,           2459,     3543,       1946,       522
 273,         18988,           18720,           5149,      3438,         715,        518,         37128,             268,           2493,     3556,       1950,       526
 274,         19048,           18779,           5193,      3417,         697,        520,         37401,             267,           2514,     3589,       1985,       523
 275,         19146,           18876,           5158,      3081,         713,        474,         37675,             266,           2575,     3595,       1978,       524
 276,         19338,           19067,           5196,      3451,         732,        515,         37950,             271,           2540,     3608,       1983,       535
 277,         19443,           19171,           5248,      3336,         727,        509,         38226,             271,           2565,     3622,       1989,       531
 278,         19464,           19191,           5285,      3195,         714,        490,         38503,             273,           2571,     3647,       2015,       540
 279,         19523,           19249,           5250,      3125,         728,        487,         38781,             271,           2567,     3661,       2009,       536
 280,         19673,           19398,           5315,      3492,         726,        518,         39060,             274,           2630,     3676,       2024,       540
 281,         19787,           19511,           5359,      3473,         737,        525,         39340,             275,           2623,     3679,       2021,       559
 282,         20023,           19746,           5388,      3019,         760,        485,         39621,             276,           2653,     3697,       2034,       548
 283,         20118,           19840,           5422,      3092,         754,        493,         39903,             276,           2649,     3703,       2030,       551
 284,         20314,           20035,           5590,      3282,         751,        555,         40186,             277,           2716,     3738,       2061,       571
 285,         20320,           20040,           5658,      3471,         755,        527,         40470,             278,           2680,     3758,       2070,       548
 286,         20573,           20292,           5560,      3416,         757,        524,         40755,             278,           2711,     3766,       2070,       552
 287,         20582,           20300,           5587,      3094,         776,        500,         41041,             284,           2916,     3766,       2070,       553
 288,         20603,           20320,           7932,      3513,         758,        540,         41328,             282,           2836,     3808,       2100,       584
 289,         20724,           20440,           5865,      3183,         770,        544,         41616,             284,           2911,     3825,       2114,       638
